experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
2;DUM;44;2200;49.41269841269841;50.55555555555556;51.0;51.0;51.0;2;0;0;2
2;KNN;44;2200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;44;2200;50.0;50.0;50.0;100.0;66.52014652014653;2;0;0;2
2;NB;44;2200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;44;2200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;44;2200;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;44;2200;100.0;93.33333333333333;100.0;88.0;91.42857142857142;1;4;4;5
2;DT;50;1936;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;50;1936;50.0;50.0;50.0;40.0;44.44444444444444;0;0;0;0
2;KNN;50;1936;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;50;1936;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;50;1936;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;50;1936;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;50;1936;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;50;1936;100.0;98.0;100.0;96.0;97.77777777777779;1;4;4;5
2;DT;55;1760;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;55;1760;51.34343434343434;44.6969696969697;44.0;42.666666666666664;43.27272727272727;3;0;0;3
2;KNN;55;1760;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;55;1760;50.0;50.0;50.0;100.0;66.5686274509804;2;0;0;2
2;NB;55;1760;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;55;1760;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;55;1760;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;55;1760;100.0;98.33333333333333;100.0;96.66666666666667;98.18181818181817;0;4;4;4
2;DT;80;1210;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;80;1210;48.4375;50.0;50.0;50.0;50.0;0;0;0;0
2;KNN;80;1210;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;80;1210;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;80;1210;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;80;1210;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;80;1210;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;80;1210;100.0;98.75;100.0;97.5;98.66666666666666;0;4;4;4
2;DT;88;1100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;88;1100;49.71830985915493;54.50980392156863;54.44444444444444;54.722222222222214;54.50980392156863;0;0;0;0
2;KNN;88;1100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;88;1100;50.0;50.0;50.0;100.0;66.64615384615384;0;0;0;0
2;NB;88;1100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;88;1100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;88;1100;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;88;1100;100.0;98.82352941176471;100.0;97.77777777777779;98.82352941176471;0;4;4;4
2;DT;100;968;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;100;968;48.75;65.0;63.63636363636364;70.0;66.66666666666666;0;0;0;0
2;KNN;100;968;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;100;968;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;100;968;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;100;968;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;100;968;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;100;968;100.0;99.0;100.0;98.0;98.94736842105263;0;4;4;4
2;DT;110;880;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;110;880;46.590909090909086;59.0909090909091;58.333333333333336;63.63636363636364;60.86956521739131;0;0;0;0
2;KNN;110;880;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;110;880;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;110;880;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;110;880;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;110;880;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;110;880;100.0;98.18181818181817;100.0;96.36363636363636;98.0;1;4;4;5
2;DT;121;800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;121;800;47.95707973911214;60.8;57.904761904761905;66.28205128205128;61.57066765762418;1;0;0;1
2;KNN;121;800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;121;800;50.0;50.0;50.0;100.0;66.65718349928876;0;0;0;0
2;NB;121;800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;121;800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;121;800;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;121;800;100.0;99.16666666666667;100.0;98.33333333333333;99.1304347826087;0;4;4;4
2;DT;160;605;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;160;605;46.875;56.25;55.55555555555556;62.5;58.82352941176471;0;0;0;0
2;KNN;160;605;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;160;605;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;160;605;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;160;605;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;160;605;100.0;100.0;100.0;100.0;100.0;0;5;5;5
